year,month,outlet_code,yact,Random_forest_pred,prophet_pred,Arima_pred
2024,2,35008000.0,21.0,12.0,24.0,29.0
2024,2,35009000.0,16.0,15.0,25.0,21.0
2024,2,37005000.0,33.0,34.0,45.0,35.0
2024,2,37006000.0,26.0,20.0,-0.0,21.0
2024,2,37006001.0,10.0,6.0,27.0,13.0
2024,2,37007000.0,24.0,18.0,39.0,22.0
2024,2,37008000.0,34.0,39.0,0.0,38.0
2024,2,37009000.0,30.0,23.0,46.0,20.0
2024,2,39001010.0,21.0,16.0,13.0,28.0
2024,2,39001012.0,20.0,14.0,-0.0,22.0
2024,2,39001014.0,11.0,5.0,0.0,20.0
2024,2,39001020.0,17.0,6.0,58.0,9.0
2024,2,39002000.0,14.0,5.0,3.0,21.0
2024,2,39002002.0,19.0,9.0,37.0,25.0
2024,2,39002005.0,13.0,5.0,28.0,3.0
2024,2,39002010.0,42.0,35.0,51.0,38.0
2024,2,39008000.0,1.0,0.0,20.0,-9.0
2024,3,10328746.0,44.0,44.0,2.0,43.0
2024,3,10328747.0,28.0,33.0,50.0,22.0
2024,3,10328748.0,50.0,46.0,43.0,53.0
2024,3,10328749.0,39.0,28.0,54.0,41.0
2024,3,10328753.0,26.0,22.0,36.0,31.0
2024,3,10328755.0,44.0,70.0,-7.0,37.0
2024,3,10328756.0,39.0,32.0,48.0,39.0
2024,3,10328760.0,28.0,25.0,2.0,25.0
2024,3,31002002.0,35.0,26.0,38.0,32.0
2024,3,31002004.0,27.0,14.0,4.0,37.0
2024,3,31002005.0,8.0,2.0,20.0,3.0
2024,3,31003000.0,18.0,22.0,32.0,17.0
2024,3,31003003.0,30.0,27.0,24.0,40.0
2024,3,31005000.0,21.0,20.0,7.0,24.0
2024,3,31005002.0,19.0,17.0,36.0,27.0
2024,3,31008000.0,52.0,54.0,11.0,61.0
2024,3,31008002.0,0.0,11.0,16.0,-7.0
2024,3,31008004.0,52.0,29.0,37.0,48.0
2024,3,31008006.0,0.0,0.0,32.0,-2.0
2024,3,31010000.0,65.0,46.0,24.0,65.0
2024,3,31012000.0,24.0,10.0,20.0,16.0
